date.1,price_usd,market_cap,volume,price_usd_lag1,volume_lag1,market_cap_lag1,price_usd_lag2,volume_lag2,market_cap_lag2,price_usd_lag3,volume_lag3,market_cap_lag3,price_usd_lag7,volume_lag7,market_cap_lag7,price_usd_lag14,volume_lag14,market_cap_lag14,returns,volatility_7d,volatility_14d,returns_rolling_mean_7d,price_usd_sma7,price_usd_std7,volume_sma7,market_cap_sma7,price_usd_sma14,price_usd_std14,volume_sma14,market_cap_sma14,price_usd_sma30,price_usd_std30,volume_sma30,market_cap_sma30,RSI_14,MACD,MACD_signal,MACD_hist,Bollinger_sma,Bollinger_upper,Bollinger_lower,day_of_week,month,quarter,target_return,target_class
2025-03-11,558.43,81532666162.7095,1881236992.0735807,564.46,1039956661.4360776,82276345886.57701,577.1160830495301,883532114.8691314,87538882195.2179,599.64,883532114.8691314,87538882195.2179,604.71,1772995327.902984,88099491927.97063,661.586354388842,722907830.6919061,96735564174.033,-1.0682776458916687,3.7407744306055215,4.227715343524002,-1.0713525183485593,581.9165832927899,19.21120739026209,1144107068.5137568,85403553085.2465,596.1156684268727,24.63221760853952,1309580398.4051225,86792969843.56592,620.5557394362912,39.37551800737978,1477923631.2742076,90237875941.7638,32.39309556657716,-11.745814851713137,-3.812251496914287,-7.933563354798847,596.1156684268727,645.3801036439518,546.8512332097937,1,3,1,-0.1593753917232265,0
2025-03-12,557.54,81366456635.83466,1231964549.6775362,558.43,1881236992.0735807,81532666162.7095,564.46,1039956661.4360776,82276345886.57701,577.1160830495301,883532114.8691314,87538882195.2179,568.77,1437380019.391853,83109245767.95335,638.47,734289317.7656609,93210254778.11714,-0.1593753917232265,3.0625851867177887,4.177353096098465,-0.2450711823430944,580.3122975785043,20.88776343753524,1114762001.4117117,85154583209.22954,590.3349541411584,23.393061858525755,1345128629.2559707,85946984261.97432,620.1060727696246,40.03215504066399,1477609028.3244357,90174246955.6567,35.05263160973492,-13.571649091370888,-5.764131015805607,-7.807518075565279,590.3349541411584,637.1210778582099,543.5488304241069,2,3,1,4.288481543925116,1
2025-03-13,581.45,84729580165.32867,1171114786.6400883,557.54,1231964549.6775362,81366456635.83466,558.43,1881236992.0735807,81532666162.7095,564.46,1039956661.4360776,82276345886.57701,603.1,1068311661.959186,88020110837.34387,607.14,1881470830.112279,88588297855.40712,4.288481543925116,2.48138910313913,4.218609030881141,-0.4946926342133513,577.2194404356471,18.40673154283957,1129448162.0804117,84684507398.94165,588.4999541411586,22.977331896878933,1294388911.8651,85671361569.82585,620.1527394362913,39.98463814573029,1500939891.3958995,90179293503.14632,45.12147044571872,-12.940132907725342,-7.199331394189555,-5.740801513535788,588.4999541411586,634.4546179349164,542.5452903474007,3,3,1,-0.2115401152291696,0
2025-03-14,580.22,84579800057.54492,1728902314.8845716,581.45,1171114786.6400883,84729580165.32867,557.54,1231964549.6775362,81366456635.83466,558.43,1881236992.0735807,81532666162.7095,601.9,814799914.9973364,87808738551.706,627.76,1212863290.4194124,91604774364.6393,-0.2115401152291696,2.481144002410641,4.088524638540393,-0.4964880823727907,574.1222975785043,15.086273433642722,1260034219.2071595,84223230471.20436,585.1042398554442,20.056123823851816,1331248842.1840398,85169577690.7477,619.9564061029579,40.17158307205304,1522720391.3609755,90146520119.58572,40.25446425514645,-12.396009027003402,-8.238666920752324,-4.157342106251077,585.1042398554442,625.2164875031478,544.9919922077406,4,3,1,3.087056787723319,1
2025-03-16,598.1317208937282,84579800057.54492,1728902314.8845716,580.22,1728902314.8845716,84579800057.54492,581.45,1171114786.6400883,84729580165.32867,557.54,1231964549.6775362,81366456635.83466,599.64,883532114.8691314,87538882195.2179,615.6,1573592799.9258971,89723443324.45264,3.087056787723319,2.8299254616392355,4.170783851145987,-0.001840304970121,573.9068291347512,14.665993324658931,1380801390.6379368,83800504451.53679,583.8565056335676,18.495640739333027,1342342378.9668024,84802174600.25429,618.7521734324878,40.269429863379735,1544500891.326051,90113746736.02509,46.50156210447231,-10.399580855120462,-8.670849707625951,-1.7287311474945106,583.8565056335676,620.8477871122336,546.8652241549016,6,3,1,6.578530736921562,1
2025-03-17,637.48,92958836850.61832,1557206014.3599737,598.1317208937282,1728902314.8845716,84579800057.54492,580.22,1728902314.8845716,84579800057.54492,581.45,1171114786.6400883,84729580165.32867,577.1160830495301,883532114.8691314,87538882195.2179,569.29,1575082265.9745924,83025221981.30531,6.578530736921562,3.214509381926693,3.943207193466647,1.4745555006405398,582.5302458419611,28.28796473892173,1477040519.1366286,84574783688.02257,588.727219919282,22.834379439802472,1341065503.8514724,85511718519.49094,619.8255067658212,40.32704797875464,1545869915.3461647,90270437814.26146,64.04840737150904,-5.578019927302989,-8.05228375156136,2.4742638242583705,588.727219919282,634.395978798887,543.058461039677,0,3,1,-0.4909957959465361,0
2025-03-18,634.35,92555650757.55933,1475787819.5330305,637.48,1557206014.3599737,92958836850.61832,598.1317208937282,1728902314.8845716,84579800057.54492,580.22,1728902314.8845716,84579800057.54492,564.46,1039956661.4360776,82276345886.57701,609.2332749266888,1575082265.9745924,83025221981.30531,-0.4909957959465361,2.9438387416907794,3.5341750803594616,1.7176971599684852,592.5145315562469,32.818198970647536,1539302113.150479,86043255812.44861,590.5212717102328,25.410770826466383,1333973043.391361,86192463432.08049,619.5655067658212,40.20310635934758,1561199678.3075514,90232887228.38704,56.09974877324417,-1.9865631328328843,-6.839139627815665,4.85257649498278,590.5212717102328,641.3428133631655,539.6997300573,1,3,1,-2.5632537242846976,0
2025-03-19,618.09,90241584888.9593,1100726082.1315966,634.35,1475787819.5330305,92555650757.55933,637.48,1557206014.3599737,92958836850.61832,598.1317208937282,1728902314.8845716,84579800057.54492,558.43,1881236992.0735807,81532666162.7095,604.71,1772995327.902984,88099491927.97063,-2.5632537242846976,3.2208364599154837,3.610017637022456,1.5041291487694812,601.037388699104,30.127730138052176,1427800554.5873382,87287387059.05574,591.4769859959471,26.22406685855989,1285953811.5505474,86345470072.15111,618.514173432488,39.80016781317249,1554448648.9867775,90081414145.7915,53.074165977391786,-0.4471988279592551,-5.560751467844383,5.113552639885127,591.4769859959471,643.9251197130668,539.0288522788273,2,3,1,2.478603439628513,1
2025-03-20,633.41,92378334776.96008,1567975412.7575078,618.09,1100726082.1315966,90241584888.9593,634.35,1475787819.5330305,92555650757.55933,637.48,1557206014.3599737,92958836850.61832,557.54,1231964549.6775362,81366456635.83466,568.77,1437380019.391853,83109245767.95335,2.478603439628513,3.147246007983864,3.180806490589471,1.8809832675340152,611.8759601276754,25.0988760177953,1475802106.4559057,88860512507.78793,596.09412885309,27.574291552357096,1295282053.9338086,87007547858.50874,615.9915067658213,36.08636061858967,1492501654.691165,89713866851.49629,66.40609137055836,1.9860603719042729,-4.051389099894651,6.037449471798924,596.09412885309,651.2427119578042,540.9455457483757,3,3,1,0.1862932381869741,1
2025-03-21,634.59,92677448785.37189,1247287533.1388352,633.41,1567975412.7575078,92378334776.96008,618.09,1100726082.1315966,90241584888.9593,634.35,1475787819.5330305,92555650757.55933,581.45,1171114786.6400883,84729580165.32867,603.1,1068311661.959186,88020110837.34387,0.1862932381869741,3.0028563694692894,2.8046195677003998,1.2949563667142807,619.467388699104,22.235487804726564,1486683927.384298,89995922310.65125,598.3434145673756,29.41279165428203,1308066044.7323549,87340214854.79646,614.7885067658212,34.778210403140925,1383126716.6956522,89540016237.51447,59.6093988404028,3.9639579174165647,-2.448319696432408,6.412277613848973,598.3434145673756,657.1689978759397,539.5178312588115,4,3,1,-1.9450619067040265,0
