date,price_usd,market_cap,volume
2025-05-06,596.58,87018704288.43825,769470001.7925094
2025-05-07,605.39,88319123409.85835,790441767.2481664
2025-05-08,616.73,89923365079.55273,906856106.2063528
2025-05-09,631.13,92073218172.22997,1397537535.0464792
2025-05-11,658.1565785000895,92073218172.22997,1397537535.0464792
2025-05-12,668.53,97535567508.0772,802681532.5007424
2025-05-13,650.4,94968953918.27065,1817163768.659476
2025-05-14,655.57,95620654297.98804,1426861719.7981849
2025-05-15,649.2737827099322,95620654297.98804,1426861719.7981849
2025-05-16,655.12,95573441368.7758,1023406190.0305696
2025-05-18,645.6941194358337,95573441368.7758,1023406190.0305696
2025-05-19,639.97,93363804546.19528,1032474128.1840272
2025-05-20,647.79,94514822022.9652,744275797.8102038
2025-05-21,651.02,94975973268.22008,1024252827.9811916
2025-05-22,685.27,99961961455.93532,1667839502.8562677
2025-05-23,685.64,100021125411.49792,893991311.2157553
2025-05-25,659.1209910491312,100021125411.49792,893991311.2157553
2025-05-26,673.54,98261728842.37256,722694109.908648
2025-05-27,682.02,99498272741.86806,804080621.9670262
2025-05-28,682.91,99638784087.5968,1011950491.7771147
2025-05-29,688.79,100496027767.69624,909052744.6991664
2025-05-30,669.85,97709384777.4403,1054575122.1152678
2025-06-01,651.0051631273745,97709384777.4403,1054575122.1152678
2025-06-02,652.7,95292329321.45187,555663045.8169767
2025-06-03,667.51,97389463083.57054,773996222.5296764
2025-06-04,670.66,97843921203.93542,627469507.7696043
2025-06-05,670.04,97760512865.39333,600279055.4252131
2025-06-06,642.26,93721318053.56451,1211831763.3121328
2025-06-08,647.9485380583028,93721318053.56451,1211831763.3121328
2025-06-09,653.18,95168644418.87692,468146702.9554248
2025-06-10,659.86,96279516993.79276,537821090.1822492
2025-06-11,670.87,97872551923.62108,944233384.379321
2025-06-12,668.5,97537401094.91998,887147876.6373036
2025-06-13,653.8,95498183127.58124,1207468315.2011669
2025-06-15,646.550554804638,95498183127.58124,1207468315.2011669
2025-06-16,655.65,95644317205.17345,560264843.4050156
2025-06-17,657.6368397799085,95644317205.17345,560264843.4050156
2025-06-18,648.52,94630642447.2185,573749415.1965333
2025-06-19,644.94,94092641415.6013,771993053.1337764
2025-06-20,647.78,94528888165.21655,564757806.7612774
