cryptocurrency_id,price_usd,market_cap,volume,date
2.0,1939.62,234090000000.0,56195700000.0,2025-05-08
2.0,2335.59,281428000000.0,53106700000.0,2025-05-09
2.0,2335.59,281428000000.0,53106700000.0,2025-05-10
2.0,2335.59,281428000000.0,53106700000.0,2025-05-11
2.0,2551.86,308075000000.0,24139600000.0,2025-05-12
2.0,2478.28,299415000000.0,27743000000.0,2025-05-13
2.0,2607.37,314889000000.0,37612000000.0,2025-05-14
2.0,2607.37,314889000000.0,37612000000.0,2025-05-15
2.0,2609.87,315073000000.0,25090800000.0,2025-05-16
2.0,2609.87,315073000000.0,25090800000.0,2025-05-17
2.0,2609.87,315073000000.0,25090800000.0,2025-05-18
2.0,2403.73,290060000000.0,32449100000.0,2025-05-19
2.0,2529.54,305343000000.0,25337200000.0,2025-05-20
2.0,2524.16,304712000000.0,23052300000.0,2025-05-21
2.0,2667.27,322107000000.0,33927900000.0,2025-05-22
2.0,2683.44,323936000000.0,25084800000.0,2025-05-23
2.0,2683.44,323936000000.0,25084800000.0,2025-05-24
2.0,2683.44,323936000000.0,25084800000.0,2025-05-25
2.0,2566.14,309837000000.0,13430800000.0,2025-05-26
2.0,2634.46,318067000000.0,18136600000.0,2025-05-27
2.0,2628.83,317679000000.0,21686600000.0,2025-05-28
2.0,2731.58,329540000000.0,27350700000.0,2025-05-29
2.0,2612.09,315359000000.0,23229500000.0,2025-05-30
2.0,2612.09,315359000000.0,23229500000.0,2025-05-31
2.0,2612.09,315359000000.0,23229500000.0,2025-06-01
2.0,2485.09,299987000000.0,12048700000.0,2025-06-02
2.0,2616.77,315878000000.0,16315800000.0,2025-06-03
2.0,2645.68,319380000000.0,14538200000.0,2025-06-04
2.0,2608.81,314934000000.0,17105900000.0,2025-06-05
2.0,2472.03,298444000000.0,29491800000.0,2025-06-06
2.0,2472.03,298444000000.0,29491800000.0,2025-06-07
2.0,2472.03,298444000000.0,29491800000.0,2025-06-08
2.0,2513.47,303336000000.0,11317900000.0,2025-06-09
2.0,2687.67,324305000000.0,26564900000.0,2025-06-10
2.0,2760.0,333257000000.0,34510100000.0,2025-06-11
2.0,2753.5,332584000000.0,30307400000.0,2025-06-12
2.0,2515.31,303869000000.0,41114600000.0,2025-06-13
2.0,2515.31,303869000000.0,41114600000.0,2025-06-14
