cryptocurrency_id,price_usd,market_cap,volume,date
3.0,0.999989,149732000000.0,54026500000.0,2025-05-09
3.0,0.999989,149732000000.0,54026500000.0,2025-05-10
3.0,0.999989,149732000000.0,54026500000.0,2025-05-11
3.0,1.0,149980000000.0,36143900000.0,2025-05-12
3.0,1.0,150064000000.0,90971000000.0,2025-05-13
3.0,0.99997,150335000000.0,88287800000.0,2025-05-14
3.0,0.99997,150335000000.0,88287800000.0,2025-05-15
3.0,1.0,151083000000.0,70705200000.0,2025-05-16
3.0,1.0,151083000000.0,70705200000.0,2025-05-17
3.0,1.0,151083000000.0,70705200000.0,2025-05-18
3.0,1.0,151383000000.0,87950400000.0,2025-05-19
3.0,1.0,151611000000.0,68008000000.0,2025-05-20
3.0,1.0,151626000000.0,60758900000.0,2025-05-21
3.0,1.0,152405000000.0,116236000000.0,2025-05-22
3.0,0.999835,152466000000.0,77410900000.0,2025-05-23
3.0,0.999835,152466000000.0,77410900000.0,2025-05-24
3.0,0.999835,152466000000.0,77410900000.0,2025-05-25
3.0,1.0,152789000000.0,39934600000.0,2025-05-26
3.0,1.0,152796000000.0,50826500000.0,2025-05-27
3.0,1.0,152969000000.0,57865400000.0,2025-05-28
3.0,1.0,152945000000.0,64953400000.0,2025-05-29
3.0,1.0,153124000000.0,67206400000.0,2025-05-30
3.0,1.0,153124000000.0,67206400000.0,2025-05-31
3.0,1.0,153124000000.0,67206400000.0,2025-06-01
3.0,1.0,153201000000.0,35709000000.0,2025-06-02
3.0,1.0,153372000000.0,23901700000.0,2025-06-03
3.0,1.0,153381000000.0,43567800000.0,2025-06-04
3.0,1.0,153878000000.0,32761300000.0,2025-06-05
3.0,1.0,153881000000.0,75269200000.0,2025-06-06
3.0,1.0,153881000000.0,75269200000.0,2025-06-07
3.0,1.0,153881000000.0,75269200000.0,2025-06-08
3.0,1.0,154815000000.0,35075200000.0,2025-06-09
3.0,1.0,155224000000.0,43205700000.0,2025-06-10
3.0,0.999996,155180000000.0,33899100000.0,2025-06-11
3.0,1.0,155193000000.0,35736300000.0,2025-06-12
3.0,1.0,155247000000.0,62204600000.0,2025-06-13
3.0,1.0,155247000000.0,62204600000.0,2025-06-14
3.0,1.0,155247000000.0,62204600000.0,2025-06-15
3.0,0.999982,155483000000.0,21650200000.0,2025-06-16
3.0,0.999982,155483000000.0,21650200000.0,2025-06-17
3.0,1.0,155574000000.0,47484100000.0,2025-06-18
3.0,1.0,155589000000.0,39636800000.0,2025-06-19
3.0,1.0,155879000000.0,20164100000.0,2025-06-20
3.0,1.0,155879000000.0,20164100000.0,2025-06-21
3.0,1.0,155879000000.0,20164100000.0,2025-06-22
3.0,1.0,155995000000.0,87799100000.0,2025-06-23
3.0,1.001,156432000000.0,42167800000.0,2025-06-24
3.0,1.0,156766000000.0,22784500000.0,2025-06-25
3.0,1.0,156744000000.0,40873700000.0,2025-06-26
3.0,1.0,157524000000.0,31706900000.0,2025-06-27
3.0,1.0,157518000000.0,18133700000.0,2025-06-28
3.0,1.0,157615000000.0,20600200000.0,2025-06-29
3.0,1.0,157714000000.0,31642400000.0,2025-06-30
3.0,1.0,157738000000.0,23269200000.0,2025-07-01
3.0,1.0,157859000000.0,22538400000.0,2025-07-02
3.0,1.0,158314000000.0,70199200000.0,2025-07-03
3.0,1.0,158463000000.0,48443500000.0,2025-07-04
