id,cryptocurrency_id,date,price_usd,market_cap,volume,change,id_crypto,name
65,5,2025-02-21T12:01:22,0.99986,56200700000.0,7956160000.0,0.00470112,5,usd-coin
66,1,2025-02-24T12:06:04,95634.0,1896320000000.0,21642700000.0,-0.585484,1,bitcoin
67,2,2025-02-24T12:06:04,2680.45,323268000000.0,24799800000.0,-4.51072,2,ethereum
68,3,2025-02-24T12:06:05,1.0,142433000000.0,56603500000.0,0.00744309,3,tether
69,4,2025-02-24T12:06:05,638.47,93210300000.0,734289000.0,-3.49408,4,binancecoin
70,5,2025-02-24T12:06:05,0.999917,57254000000.0,6765300000.0,-0.00421643,5,usd-coin
71,1,2025-02-25T12:01:15,88208.0,1749130000000.0,66998900000.0,-7.77115,1,bitcoin
72,2,2025-02-25T12:01:15,2401.06,289726000000.0,41239700000.0,-10.4511,2,ethereum
73,3,2025-02-25T12:01:15,0.999516,142282000000.0,133365000000.0,-0.0631671,3,tether
74,4,2025-02-25T12:01:15,607.14,88588300000.0,1881470000.0,-4.97999,4,binancecoin
75,5,2025-02-25T12:01:16,0.999901,56552300000.0,14163500000.0,-0.00176885,5,usd-coin
76,1,2025-02-26T12:02:48,89191.0,1769330000000.0,67971800000.0,1.5378,1,bitcoin
77,2,2025-02-26T12:02:48,2491.87,300637000000.0,27365900000.0,4.36931,2,ethereum
78,3,2025-02-26T12:02:49,0.999182,141988000000.0,60189000000.0,-0.0363778,3,tether
79,4,2025-02-26T12:02:49,627.76,91604800000.0,1212860000.0,3.76789,4,binancecoin
80,5,2025-02-26T12:02:49,0.999897,56305400000.0,8931430000.0,-0.00351424,5,usd-coin
81,1,2025-02-27T12:01:46,86978.0,1721940000000.0,334575000000.0,-2.48119,1,bitcoin
82,2,2025-02-27T12:01:47,2377.17,286522000000.0,101910000000.0,-4.5836,2,ethereum
83,3,2025-02-27T12:01:47,0.999027,142165000000.0,119208000000.0,-0.0157463,3,tether
84,4,2025-02-27T12:01:48,615.6,89723400000.0,1573590000.0,-1.92836,4,binancecoin
85,5,2025-02-27T12:01:48,0.9999,55990000000.0,10347600000.0,0.00220587,5,usd-coin
86,1,2025-02-28T11:59:10,79806.0,1586100000000.0,83708400000.0,-8.21695,1,bitcoin
87,2,2025-02-28T11:59:10,2116.59,255432000000.0,37218400000.0,-10.9445,2,ethereum
88,3,2025-02-28T11:59:10,0.999261,142087000000.0,82225800000.0,0.0234505,3,tether
89,4,2025-02-28T11:59:11,569.29,83025200000.0,1575080000.0,-7.56595,4,binancecoin
90,5,2025-02-28T11:59:11,0.999838,55600000000.0,15682600000.0,-0.00621959,5,usd-coin
91,1,2025-03-03T12:01:26,92529.0,1832140000000.0,76960800000.0,7.62615,1,bitcoin
92,2,2025-03-03T12:01:26,2358.78,283963000000.0,41504600000.0,5.09145,2,ethereum
93,3,2025-03-03T12:01:27,0.999681,142391000000.0,143616000000.0,0.00930521,3,tether
94,4,2025-03-03T12:01:27,604.71,88099500000.0,1773000000.0,-0.742454,4,binancecoin
95,5,2025-03-03T12:01:28,0.999921,56386800000.0,19277600000.0,0.00267084,5,usd-coin
96,1,2025-03-04T12:00:13,83902.0,1663860000000.0,62749000000.0,-9.31437,1,bitcoin
97,2,2025-03-04T12:00:14,2100.57,253305000000.0,35349200000.0,-10.9469,2,ethereum
98,3,2025-03-04T12:00:14,0.999401,142423000000.0,74701600000.0,-0.0281669,3,tether
99,4,2025-03-04T12:00:14,568.77,83109200000.0,1437380000.0,-5.93686,4,binancecoin
100,5,2025-03-04T12:00:15,0.999884,56265600000.0,10947200000.0,-0.00462317,5,usd-coin
101,1,2025-03-05T12:02:32,89845.0,1782220000000.0,60951100000.0,7.08232,1,bitcoin
102,2,2025-03-05T12:02:33,2238.39,270198000000.0,25760200000.0,6.69762,2,ethereum
103,3,2025-03-05T12:02:33,0.999967,142491000000.0,49585700000.0,0.0566833,3,tether
104,4,2025-03-05T12:02:34,603.1,88020100000.0,1068310000.0,6.0818,4,binancecoin
105,5,2025-03-05T12:02:34,0.999893,56439200000.0,13766500000.0,0.00683659,5,usd-coin
106,1,2025-03-06T12:11:59,91059.0,1806160000000.0,41074100000.0,1.30985,1,bitcoin
107,2,2025-03-06T12:11:59,2289.16,276006000000.0,21007600000.0,2.37833,2,ethereum
108,3,2025-03-06T12:11:59,0.999944,142710000000.0,79205200000.0,-0.0027844,3,tether
109,4,2025-03-06T12:11:59,601.9,87808700000.0,814800000.0,-0.171691,4,binancecoin
110,5,2025-03-06T12:12:00,0.999868,57243900000.0,10538400000.0,-0.00216235,5,usd-coin
111,6,2025-03-06T12:12:00,2.62,151553000000.0,5293470000.0,4.09974,6,ripple
112,1,2025-03-07T12:31:09,89086.0,1768400000000.0,60085000000.0,-2.57568,1,bitcoin
113,2,2025-03-07T12:31:09,2199.55,265577000000.0,19761500000.0,-4.28288,2,ethereum
114,3,2025-03-07T12:31:09,1.0,142806000000.0,48682500000.0,0.0107684,3,tether
115,4,2025-03-07T12:31:10,599.64,87538900000.0,883532000.0,-0.728586,4,binancecoin
116,5,2025-03-07T12:31:10,0.999874,57437200000.0,7729180000.0,-0.000588922,5,usd-coin
