id,cryptocurrency_id,date,price_usd,cryptocurrency_name,market_cap,volume,change
1,1,2025-02-05 12:03:40,97864.0,bitcoin,1940956855582.5635,63657357377.34854,-1.048094180117312
2,2,2025-02-05 12:03:40,2780.5,ethereum,335253784077.39465,44211255030.13295,1.025537304467083
3,3,2025-02-05 12:03:40,1.0,tether,140530714467.2199,107324444720.5239,-0.03829968808958827
4,4,2025-02-05 12:03:40,571.03,binancecoin,83275326219.04857,1241402638.170698,-2.1800397694359734
5,1,2025-02-06 12:05:49,99038.0,bitcoin,1960398063820.3357,42439412318.47908,1.3047603122029925
6,2,2025-02-06 12:05:50,2825.73,ethereum,340841336003.2557,30540688522.83085,1.559075889370964
7,3,2025-02-06 12:05:50,1.0,tether,141226202324.4353,81109219902.7367,0.0036681699479431938
8,4,2025-02-06 12:05:50,580.05,binancecoin,84578183740.6389,471188894.4961654,1.491920341954539
9,9,2025-02-06 12:05:50,1.0,usd-coin,55549029408.77881,11227895546.258568,0.004891004295019374
10,1,2025-02-07 12:17:58,97683.0,bitcoin,1932662023412.2295,46127891320.82414,-1.056847907139033
11,2,2025-02-07 12:17:58,2753.45,ethereum,331887370082.8697,30198318545.54788,-2.2073907313088066
12,3,2025-02-07 12:17:59,1.0,tether,141406705240.11102,67820895220.69146,-0.010029296559949441
13,4,2025-02-07 12:17:59,586.11,binancecoin,85563001564.36404,1075487315.9322972,1.422946660046523
14,9,2025-02-07 12:18:00,0.99999,usd-coin,55748065600.22236,10904408623.217258,0.00036222985994494364
15,15,2025-02-07 12:18:00,2.42,ripple,139975398764.8242,6647127220.7502365,-0.8239178730406437
16,1,2025-02-10 12:07:28,97676.0,bitcoin,1937412708361.842,38859407864.58187,0.7695885879702201
17,2,2025-02-10 12:07:28,2645.52,ethereum,319102473676.04456,20818821594.816456,-0.7733509680141786
18,3,2025-02-10 12:07:28,1.0,tether,141636113355.20483,68086535727.703674,-0.00776146916109475
19,4,2025-02-10 12:07:29,605.28,binancecoin,88258104503.52654,1516135293.756566,-4.568908705829745
20,9,2025-02-10 12:07:29,0.99995,usd-coin,56279342375.420784,8631852462.449038,-0.005033820660731636
21,1,2025-02-11 12:41:21,98094.0,bitcoin,1944582074336.6643,28127913033.10622,0.25436878234643284
22,2,2025-02-11 12:41:22,2703.66,ethereum,325800495691.03674,17068929403.229237,2.0088568379250384
23,3,2025-02-11 12:41:22,1.0,tether,141897963340.44827,51473806597.737434,-0.0036756094892418656
24,4,2025-02-11 12:41:22,642.15,binancecoin,93682168333.7911,1015894930.6914313,5.933221261265725
25,9,2025-02-11 12:41:23,0.999951,usd-coin,56254035324.8499,7688255632.972737,0.0003859333919446692
26,1,2025-02-12 12:00:47,95933.0,bitcoin,1903334391009.798,34216141351.027554,-2.118652028236632
27,2,2025-02-12 12:00:47,2615.58,ethereum,315352067238.8508,17171881914.033998,-3.1064980703712717
28,3,2025-02-12 12:00:48,0.999969,tether,141947748272.55032,54998342757.93287,-0.01845620593549426
29,4,2025-02-12 12:00:48,649.63,binancecoin,94785777366.82602,1303256961.754817,1.6077291589662523
30,9,2025-02-12 12:00:48,0.999925,usd-coin,56036826739.8542,7108813035.343402,-0.007446319013439486
31,1,2025-02-13 11:58:55,96199.0,bitcoin,1906996426383.2646,48896105040.13805,0.22539831709283129
32,2,2025-02-13 11:58:56,2679.83,ethereum,323037837139.9875,27769327846.131817,2.463384806310697
33,3,2025-02-13 11:58:56,1.0,tether,141932927985.99435,80609970049.01634,0.008052516634495304
34,4,2025-02-13 11:58:56,709.09,binancecoin,103404753605.8162,3426385241.6258783,9.08198111777076
35,9,2025-02-13 11:58:56,0.999955,usd-coin,56058413469.64501,10551577886.476906,0.00548661574023592
36,1,2025-02-14 12:04:15,97032.0,bitcoin,1923609094272.3853,27336051472.323517,0.9282023937712467
37,2,2025-02-14 12:04:15,2704.94,ethereum,326122579463.8859,17559256662.447,1.042517609619598
38,3,2025-02-14 12:04:15,1.0,tether,141818483082.3435,31586809996.30553,0.004819670630770292
39,4,2025-02-14 12:04:16,670.68,binancecoin,97892967204.82668,4528535673.004214,-5.363354345642269
40,9,2025-02-14 12:04:16,0.999826,usd-coin,56176781834.46259,8116291880.483201,-0.00711196267142223
41,1,2025-02-17 12:01:22,96124.0,bitcoin,1905069151120.4202,18147296370.745632,-1.0863447806973152
42,2,2025-02-17 12:01:22,2752.63,ethereum,331974829105.1605,14533278396.552086,2.09651270984312
43,3,2025-02-17 12:01:23,0.999988,tether,141994846323.96326,24057493830.03841,-0.0032777755980309088
44,4,2025-02-17 12:01:23,667.25,binancecoin,97356078131.44455,1190122058.87924,-0.04161170942230932
45,9,2025-02-17 12:01:23,0.999992,usd-coin,56426852966.780945,3588133585.288859,0.005434520640897894
46,1,2025-02-18 12:21:07,95669.0,bitcoin,1896636780739.3713,25687705238.639717,-0.5984756459543434
47,2,2025-02-18 12:21:07,2692.9,ethereum,324614200449.1122,25577956635.68308,-1.9545626663375844
48,3,2025-02-18 12:21:07,0.999763,tether,141729108142.32693,61720628047.023186,-0.022538069958460617
49,4,2025-02-18 12:21:07,654.93,binancecoin,95474523116.65485,1079229684.3374412,-1.9810275095158303
50,9,2025-02-18 12:21:08,0.9999,usd-coin,56502616885.02955,4551077921.784209,-0.009026296330361937
51,1,2025-02-19 12:01:01,96302.0,bitcoin,1909471804076.9517,37930492657.54263,0.6152399251740042
52,2,2025-02-19 12:01:01,2725.28,ethereum,328481705964.394,20836208561.9872,1.1394723877740385
53,3,2025-02-19 12:01:01,0.999707,tether,141736767687.06647,67733317280.89668,-0.007414802507952931
54,4,2025-02-19 12:01:02,657.3,binancecoin,95894285932.45222,1226110200.9330354,0.5139776835284059
55,9,2025-02-19 12:01:03,0.999899,usd-coin,56224073904.18479,4872364494.854752,0.0005121011508709754
56,1,2025-02-20 12:01:53,97408.0,bitcoin,1930718414383.4734,26182015004.48723,1.1472653937236588
57,2,2025-02-20 12:01:53,2745.75,ethereum,331033592851.4221,14125359027.92038,0.711788514977859
58,3,2025-02-20 12:01:53,1.0,tether,141779593368.7403,38893298514.462,0.02892422491076805
59,4,2025-02-20 12:01:54,650.87,binancecoin,94942433606.34479,879995816.6524014,-0.9055762954111085
60,9,2025-02-20 12:01:54,0.999862,usd-coin,56306628698.09772,7067282554.7258625,-0.0011438886877033754
61,1,2025-02-21 12:01:20,98634.0,bitcoin,1955272300049.4636,30643254528.124435,1.260045538221418
62,2,2025-02-21 12:01:21,2802.85,ethereum,337858356234.45056,16710946595.666765,2.1080975277885186
63,3,2025-02-21 12:01:21,1.0,tether,142234642530.3252,30400127443.276184,0.01301170092466973
64,4,2025-02-21 12:01:21,663.31,binancecoin,96735564174.033,722907830.6919061,1.9422261431819399
65,9,2025-02-21 12:01:22,0.99986,usd-coin,56200670143.79143,7956157686.716713,0.004701117009502584
66,1,2025-02-24 12:06:04,95634.0,bitcoin,1896318596827.1353,21642669038.334625,-0.5854840465093748
67,2,2025-02-24 12:06:04,2680.45,ethereum,323267815329.58453,24799825984.77345,-4.5107168293458635
68,3,2025-02-24 12:06:05,1.0,tether,142433378237.3166,56603478165.613914,0.007443085972839346
69,4,2025-02-24 12:06:05,638.47,binancecoin,93210254778.11714,734289317.7656609,-3.494079682189983
70,9,2025-02-24 12:06:05,0.999917,usd-coin,57254011942.13982,6765303421.645795,-0.004216432299483182
71,1,2025-02-25 12:01:15,88208.0,bitcoin,1749131894137.8281,66998948748.77075,-7.771153434066541
72,2,2025-02-25 12:01:15,2401.06,ethereum,289726358639.9741,41239700923.42463,-10.45105188718041
73,3,2025-02-25 12:01:15,0.999516,tether,142281558150.63278,133364562169.20766,-0.06316707610014462
74,4,2025-02-25 12:01:15,607.14,binancecoin,88588297855.40712,1881470830.112279,-4.979987411842742
75,9,2025-02-25 12:01:16,0.999901,usd-coin,56552297041.70299,14163483534.592257,-0.0017688527245762024
76,1,2025-02-26 12:02:48,89191.0,bitcoin,1769331563832.426,67971798216.33801,1.5377977463933106
77,2,2025-02-26 12:02:48,2491.87,ethereum,300637052066.1863,27365899488.221203,4.369312703085053
78,3,2025-02-26 12:02:49,0.999182,tether,141987607812.21088,60189039565.78527,-0.03637782744062274
79,4,2025-02-26 12:02:49,627.76,binancecoin,91604774364.6393,1212863290.4194124,3.767890154651733
80,9,2025-02-26 12:02:49,0.999897,usd-coin,56305432512.259636,8931428942.869972,-0.0035142437880584573
81,1,2025-02-27 12:01:46,86978.0,bitcoin,1721942790527.3584,334574526925.0824,-2.481190776662492
82,2,2025-02-27 12:01:47,2377.17,ethereum,286521952723.5145,101909571677.73895,-4.583596382103335
83,3,2025-02-27 12:01:47,0.999027,tether,142164913465.04572,119208160613.53812,-0.01574633864671616
84,4,2025-02-27 12:01:48,615.6,binancecoin,89723443324.45264,1573592799.9258971,-1.9283561588912923
85,9,2025-02-27 12:01:48,0.9999,usd-coin,55990011439.269035,10347645387.966906,0.0022058714164513026
86,1,2025-02-28 11:59:10,79806.0,bitcoin,1586097155827.0115,83708362751.703,-8.216954453308395
87,2,2025-02-28 11:59:10,2116.59,ethereum,255432227101.33115,37218404655.705536,-10.944517566943333
88,3,2025-02-28 11:59:10,0.999261,tether,142087118295.65018,82225800872.13318,0.023450502759208437
89,4,2025-02-28 11:59:11,569.29,binancecoin,83025221981.30531,1575082265.9745924,-7.565949391779961
